DATE,DGS1
2022-01-10,0.46
2022-01-11,0.46
2022-01-12,0.48
2022-01-13,0.47
2022-01-14,0.51
2022-01-18,0.58
2022-01-19,0.57
2022-01-20,0.6
2022-01-21,0.58
2022-01-24,0.58
2022-01-25,0.65
2022-01-26,0.7
2022-01-27,0.75
2022-01-28,0.75
2022-01-31,0.78
2022-02-01,0.78
2022-02-02,0.76
2022-02-03,0.78
2022-02-04,0.89
2022-02-07,0.88
2022-02-08,0.91
2022-02-09,0.91
2022-02-10,1.14
2022-02-11,1.07
2022-02-14,1.13
2022-02-15,1.11
2022-02-16,1.09
2022-02-17,1.05
2022-02-18,1.03
2022-02-22,1.17
2022-02-23,1.16
2022-02-24,1.08
2022-02-25,1.13
2022-02-28,1.01
2022-03-01,0.91
2022-03-02,1.06
2022-03-03,1.08
2022-03-04,1.05
2022-03-07,1.07
2022-03-08,1.12
2022-03-09,1.15
2022-03-10,1.19
2022-03-11,1.22
2022-03-14,1.28
2022-03-15,1.28
2022-03-16,1.35
2022-03-17,1.3
2022-03-18,1.29
2022-03-21,1.4
2022-03-22,1.59
2022-03-23,1.52
2022-03-24,1.55
2022-03-25,1.67
2022-03-28,1.69
2022-03-29,1.67
2022-03-30,1.64
2022-03-31,1.63
2022-04-01,1.72
2022-04-04,1.72
2022-04-05,1.77
2022-04-06,1.79
2022-04-07,1.78
2022-04-08,1.81
2022-04-11,1.85
2022-04-12,1.77
2022-04-13,1.78
2022-04-14,1.84
2022-04-18,1.84
2022-04-19,1.94
2022-04-20,1.93
2022-04-21,2.01
2022-04-22,2.06
2022-04-25,2.03
2022-04-26,1.99
2022-04-27,1.97
2022-04-28,2.04
2022-04-29,2.1
2022-05-02,2.1
2022-05-03,2.16
2022-05-04,2.07
2022-05-05,2.08
2022-05-06,2.08
2022-05-09,1.99
2022-05-10,2.01
2022-05-11,1.99
2022-05-12,1.96
2022-05-13,2.04
2022-05-16,2.07
2022-05-17,2.16
2022-05-18,2.16
2022-05-19,2.11
2022-05-20,2.07
2022-05-23,2.09
2022-05-24,2.02
2022-05-25,2.01
2022-05-26,1.99
2022-05-27,2.01
2022-05-31,2.08
2022-06-01,2.16
2022-06-02,2.15
2022-06-03,2.18
2022-06-06,2.23
2022-06-07,2.26
2022-06-08,2.29
2022-06-09,2.35
2022-06-10,2.58
2022-06-13,2.89
2022-06-14,3.15
2022-06-15,2.93
2022-06-16,2.88
2022-06-17,2.86
2022-06-21,2.92
2022-06-22,2.79
2022-06-23,2.78
2022-06-24,2.83
2022-06-27,2.89
2022-06-28,2.88
2022-06-29,2.88
2022-06-30,2.8
2022-07-01,2.79
2022-07-05,2.77
2022-07-06,2.82
2022-07-07,2.87
2022-07-08,2.96
2022-07-11,2.97
2022-07-12,3.07
2022-07-13,3.21
2022-07-14,3.16
2022-07-15,3.12
2022-07-18,3.13
2022-07-19,3.18
2022-07-20,3.18
2022-07-21,3.11
2022-07-22,3.01
2022-07-25,3.07
2022-07-26,3.06
2022-07-27,3
2022-07-28,2.93
2022-07-29,2.98
2022-08-01,2.98
2022-08-02,3.09
2022-08-03,3.14
2022-08-04,3.11
2022-08-05,3.29
2022-08-08,3.3
2022-08-09,3.33
2022-08-10,3.26
2022-08-11,3.25
2022-08-12,3.26
2022-08-15,3.23
2022-08-16,3.26
2022-08-17,3.27
2022-08-18,3.24
2022-08-19,3.26
2022-08-22,3.32
2022-08-23,3.29
2022-08-24,3.35
2022-08-25,3.33
2022-08-26,3.36
2022-08-29,3.43
2022-08-30,3.48
2022-08-31,3.5
2022-09-01,3.51
2022-09-02,3.47
2022-09-06,3.61
2022-09-07,3.6
2022-09-08,3.6
2022-09-09,3.67
2022-09-12,3.7
2022-09-13,3.92
2022-09-14,3.95
2022-09-15,4
2022-09-16,3.96
2022-09-19,4.05
2022-09-20,4.03
2022-09-21,4.08
2022-09-22,4.08
2022-09-23,4.15
2022-09-26,4.17
2022-09-27,4.16
2022-09-28,3.99
2022-09-29,3.98
2022-09-30,4.05
2022-10-03,4.01
2022-10-04,4.15
2022-10-05,4.14
2022-10-06,4.19
2022-10-07,4.24
2022-10-11,4.28
2022-10-12,4.28
2022-10-13,4.46
2022-10-14,4.5
2022-10-17,4.5
2022-10-18,4.5
2022-10-19,4.6
2022-10-20,4.66
2022-10-21,4.58
2022-10-24,4.61
2022-10-25,4.6
2022-10-26,4.54
2022-10-27,4.5
2022-10-28,4.55
2022-10-31,4.66
2022-11-01,4.75
2022-11-02,4.76
2022-11-03,4.78
2022-11-04,4.76
2022-11-07,4.8
2022-11-08,4.77
2022-11-09,4.75
2022-11-10,4.59
2022-11-14,4.63
2022-11-15,4.6
2022-11-16,4.62
2022-11-17,4.68
2022-11-18,4.74
2022-11-21,4.75
2022-11-22,4.79
2022-11-23,4.75
2022-11-25,4.76
2022-11-28,4.76
2022-11-29,4.78
2022-11-30,4.74
2022-12-01,4.66
2022-12-02,4.69
2022-12-05,4.77
2022-12-06,4.73
2022-12-07,4.67
2022-12-08,4.71
2022-12-09,4.72
2022-12-12,4.75
2022-12-13,4.64
2022-12-14,4.64
2022-12-15,4.65
2022-12-16,4.61
2022-12-19,4.64
2022-12-20,4.64
2022-12-21,4.6
2022-12-22,4.64
2022-12-23,4.66
2022-12-27,4.75
2022-12-28,4.71
2022-12-29,4.71
2022-12-30,4.73
2023-01-03,4.72
2023-01-04,4.71
2023-01-05,4.78
2023-01-06,4.71
2023-01-09,4.69
2023-01-10,4.74
